random_state,enlr_base_accuracy,enlr_base_recall,enlr_base_f1,enlr_base_pr_auc,enlr_single_pass_accuracy,enlr_single_pass_recall,enlr_single_pass_f1,enlr_single_pass_pr_auc,enlr_multi_agent_all_accuracy,enlr_multi_agent_all_recall,enlr_multi_agent_all_f1,enlr_multi_agent_all_pr_auc,enlr_multi_agent_lc_accuracy,enlr_multi_agent_lc_recall,enlr_multi_agent_lc_f1,enlr_multi_agent_lc_pr_auc,enlr_multi_agent_cc_accuracy,enlr_multi_agent_cc_recall,enlr_multi_agent_cc_f1,enlr_multi_agent_cc_pr_auc,enlr_multi_agent_ls_accuracy,enlr_multi_agent_ls_recall,enlr_multi_agent_ls_f1,enlr_multi_agent_ls_pr_auc
11,0.92942515651679,0.8828828828828829,0.6125,0.8157479255638037,0.9328400682982356,0.9009009009009009,0.6289308176100629,0.7912475708621834,0.9317017643710871,0.9009009009009009,0.625,0.7936637329665027,0.9322709163346613,0.9009009009009009,0.6269592476489029,0.81191038260502,0.935685828116107,0.9009009009009009,0.6389776357827476,0.7927914521628573,0.9339783722253842,0.9099099099099099,0.6352201257861636,0.8155033073777532
12,0.9288560045532157,0.8918918918918919,0.6130030959752322,0.8401369019973657,0.9265793966989186,0.918918918918919,0.6126126126126126,0.8302001515997388,0.9237336368810473,0.9099099099099099,0.6011904761904762,0.8420689344969317,0.9231644849174729,0.8918918918918919,0.5945945945945946,0.8387454745949389,0.9260102447353443,0.9009009009009009,0.6060606060606061,0.8331506889824578,0.9299943084803642,0.9009009009009009,0.6191950464396284,0.8336628614812178
13,0.9328400682982356,0.8468468468468469,0.6143790849673203,0.7978933450838238,0.9328400682982356,0.8648648648648649,0.6193548387096774,0.7849524401356733,0.9425156516789983,0.8648648648648649,0.6552901023890786,0.8043745928925053,0.9379624359704041,0.8558558558558559,0.6354515050167224,0.7985169727820027,0.9379624359704041,0.8558558558558559,0.6354515050167224,0.8019670412969073,0.9373932840068299,0.8468468468468469,0.6308724832214766,0.8015686910961994
14,0.935685828116107,0.8738738738738738,0.6319218241042345,0.8294420680945321,0.9271485486624929,0.8378378378378378,0.5923566878980893,0.8216539129204627,0.9351166761525327,0.8648648648648649,0.6274509803921569,0.8451690703223624,0.9351166761525327,0.8738738738738738,0.6298701298701298,0.8446764134787088,0.9368241320432555,0.8648648648648649,0.6336633663366337,0.8423776177028219,0.9362549800796812,0.8648648648648649,0.6315789473684211,0.8440255714597709
15,0.919180421172453,0.8288288288288288,0.5644171779141104,0.6853905253302052,0.9180421172453045,0.8198198198198198,0.558282208588957,0.6739320774139484,0.9243027888446215,0.8468468468468469,0.5856697819314642,0.6820455671959692,0.9231644849174729,0.8468468468468469,0.5820433436532508,0.6898910776315186,0.9231644849174729,0.8468468468468469,0.5820433436532508,0.6957547875247095,0.9197495731360273,0.8378378378378378,0.5688073394495412,0.6712068479105272
16,0.9231644849174729,0.7927927927927928,0.5659163987138264,0.7260525276718693,0.9299943084803642,0.8288288288288288,0.5993485342019544,0.7568900258833328,0.92942515651679,0.8018018018018018,0.5894039735099338,0.7472572460657936,0.9299943084803642,0.8018018018018018,0.5913621262458472,0.7445299424964684,0.9299943084803642,0.8018018018018018,0.5913621262458472,0.7488436876558645,0.9265793966989186,0.7927927927927928,0.5770491803278688,0.732271391143273
17,0.9243027888446215,0.9009009009009009,0.6006006006006006,0.8575816031001894,0.9237336368810473,0.9009009009009009,0.5988023952095809,0.8238302311685736,0.9345475241889585,0.9459459459459459,0.6461538461538461,0.8553787110362572,0.9282868525896414,0.918918918918919,0.6181818181818182,0.8555634484472632,0.92942515651679,0.918918918918919,0.6219512195121951,0.8655787140220531,0.9254410927717701,0.918918918918919,0.608955223880597,0.8584117463356392
18,0.9265793966989186,0.8828828828828829,0.6030769230769231,0.83182836985795,0.9248719408081958,0.8918918918918919,0.6,0.7975672870278478,0.9214570290267502,0.8828828828828829,0.5868263473053892,0.8061565717404778,0.9208878770631759,0.8918918918918919,0.5875370919881306,0.8159086614814406,0.9231644849174729,0.918918918918919,0.6017699115044248,0.8188444759733042,0.9288560045532157,0.9099099099099099,0.6177370030581041,0.8210405895983156
19,0.9362549800796812,0.8558558558558559,0.6291390728476821,0.8073189024366416,0.9391007398975526,0.8828828828828829,0.6468646864686468,0.8300328252213043,0.9368241320432555,0.8378378378378378,0.6262626262626263,0.8185556127179867,0.9328400682982356,0.8378378378378378,0.6118421052631579,0.8131183430567294,0.9385315879339784,0.8468468468468469,0.6351351351351352,0.8238347752950578,0.9396698918611269,0.8468468468468469,0.6394557823129252,0.8053572443906957
20,0.9317017643710871,0.8198198198198198,0.6026490066225165,0.7825796190534765,0.9260102447353443,0.8108108108108109,0.5806451612903225,0.7884843776980642,0.9299943084803642,0.8108108108108109,0.594059405940594,0.800859799823094,0.9282868525896414,0.8198198198198198,0.5909090909090909,0.7935331046869247,0.9311326124075128,0.8018018018018018,0.5953177257525084,0.7917743122542693,0.9305634604439386,0.8108108108108109,0.5960264900662251,0.7843678276260192
