random_state,xgb_base_accuracy,xgb_base_recall,xgb_base_f1,xgb_base_pr_auc,xgb_single_pass_accuracy,xgb_single_pass_recall,xgb_single_pass_f1,xgb_single_pass_pr_auc,xgb_multi_agent_all_accuracy,xgb_multi_agent_all_recall,xgb_multi_agent_all_f1,xgb_multi_agent_all_pr_auc,xgb_multi_agent_lc_accuracy,xgb_multi_agent_lc_recall,xgb_multi_agent_lc_f1,xgb_multi_agent_lc_pr_auc,xgb_multi_agent_cc_accuracy,xgb_multi_agent_cc_recall,xgb_multi_agent_cc_f1,xgb_multi_agent_cc_pr_auc,xgb_multi_agent_ls_accuracy,xgb_multi_agent_ls_recall,xgb_multi_agent_ls_f1,xgb_multi_agent_ls_pr_auc
11,0.9840637450199203,0.7837837837837838,0.8613861386138614,0.9359423947931017,0.9840637450199203,0.7837837837837838,0.8613861386138614,0.9319417974254114,0.983494593056346,0.7837837837837838,0.8571428571428571,0.9321559886715655,0.9863403528742174,0.8018018018018018,0.8811881188118812,0.9273239470499414,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.919187579824268,0.9857712009106432,0.8018018018018018,0.8768472906403941,0.9217526929862202
12,0.981217985202049,0.8378378378378378,0.8493150684931507,0.9276689962401432,0.9795105293113261,0.8378378378378378,0.8378378378378378,0.9214892822195229,0.9817871371656233,0.8288288288288288,0.8518518518518519,0.9259029165845124,0.9795105293113261,0.8108108108108109,0.8333333333333334,0.9214765403421727,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.914015746324821,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.9158144236777424
13,0.9806488332384746,0.7657657657657657,0.8333333333333334,0.9110304226417626,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.9095294024519622,0.9806488332384746,0.7477477477477478,0.83,0.9244511751571041,0.981217985202049,0.7747747747747747,0.8390243902439024,0.9207112858910743,0.9800796812749004,0.7477477477477478,0.8258706467661691,0.9082541332449038,0.9795105293113261,0.7477477477477478,0.8217821782178218,0.9036444352405931
14,0.9800796812749004,0.7657657657657657,0.8292682926829268,0.912130198848008,0.983494593056346,0.8108108108108109,0.861244019138756,0.9162595046593506,0.981217985202049,0.7657657657657657,0.8374384236453201,0.9229749504161612,0.981217985202049,0.7567567567567568,0.835820895522388,0.9176394741268756,0.9817871371656233,0.7747747747747747,0.8431372549019608,0.9126012992821165,0.9829254410927718,0.7837837837837838,0.8529411764705881,0.906354442385411
15,0.9766647694934547,0.7207207207207207,0.7960199004975124,0.8959187906889619,0.9795105293113261,0.7747747747747747,0.8269230769230769,0.9045228913249015,0.9795105293113261,0.7387387387387387,0.8200000000000001,0.9062202398083083,0.977233921457029,0.7297297297297297,0.8019801980198019,0.9013169380174959,0.9783722253841776,0.7207207207207207,0.8080808080808081,0.9093261741725239,0.9783722253841776,0.7297297297297297,0.81,0.9020616319485247
16,0.9766647694934547,0.7027027027027027,0.7918781725888325,0.8533506517639121,0.9743881616391576,0.6576576576576577,0.7643979057591623,0.8645056467486795,0.977233921457029,0.7207207207207207,0.7999999999999999,0.8630452117926429,0.9726807057484348,0.6756756756756757,0.7575757575757576,0.8555077097732182,0.9738190096755834,0.6576576576576577,0.7604166666666667,0.855604428230341,0.9755264655663062,0.6846846846846847,0.7794871794871795,0.8647634723573706
17,0.9852020489470689,0.8198198198198198,0.875,0.9428572950726798,0.9869095048377917,0.8288288288288288,0.8888888888888888,0.9380469286776302,0.9857712009106432,0.8288288288288288,0.8803827751196172,0.9454365023215485,0.9874786568013659,0.8378378378378378,0.8942307692307693,0.9396407789725321,0.9869095048377917,0.8468468468468469,0.8909952606635071,0.9391660450426674,0.9840637450199203,0.8108108108108109,0.8653846153846155,0.9379096870724015
18,0.9846328969834945,0.8198198198198198,0.8708133971291867,0.9244258253255637,0.9823562891291975,0.8288288288288288,0.8558139534883721,0.909492117872026,0.9817871371656233,0.7927927927927928,0.8461538461538461,0.913994219198217,0.9829254410927718,0.8018018018018018,0.8557692307692306,0.9191968707660796,0.983494593056346,0.8108108108108109,0.861244019138756,0.9309754371158429,0.9829254410927718,0.8108108108108109,0.8571428571428571,0.9287682153958238
19,0.9806488332384746,0.7567567567567568,0.8316831683168316,0.9202229136353725,0.9846328969834945,0.7837837837837838,0.8656716417910447,0.9212666240922813,0.9823562891291975,0.7747747747747747,0.8472906403940887,0.9370368936402776,0.9800796812749004,0.7477477477477478,0.8258706467661691,0.9199035519062634,0.9817871371656233,0.7837837837837838,0.8446601941747574,0.9286891855665551,0.9800796812749004,0.7387387387387387,0.8241206030150755,0.9183361143736779
20,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.8915143865194699,0.9789413773477519,0.7477477477477478,0.8177339901477833,0.9017287927465998,0.9846328969834945,0.7927927927927928,0.8669950738916256,0.9164068459777982,0.9800796812749004,0.7477477477477478,0.8258706467661691,0.9032273117700571,0.9817871371656233,0.7477477477477478,0.8383838383838385,0.9036415714237039,0.9806488332384746,0.7657657657657657,0.8333333333333334,0.8996193304763398
