random_state,lr_base_accuracy,lr_base_recall,lr_base_f1,lr_base_pr_auc,lr_single_pass_accuracy,lr_single_pass_recall,lr_single_pass_f1,lr_single_pass_pr_auc,lr_multi_agent_all_accuracy,lr_multi_agent_all_recall,lr_multi_agent_all_f1,lr_multi_agent_all_pr_auc,lr_multi_agent_lc_accuracy,lr_multi_agent_lc_recall,lr_multi_agent_lc_f1,lr_multi_agent_lc_pr_auc,lr_multi_agent_cc_accuracy,lr_multi_agent_cc_recall,lr_multi_agent_cc_f1,lr_multi_agent_cc_pr_auc,lr_multi_agent_ls_accuracy,lr_multi_agent_ls_recall,lr_multi_agent_ls_f1,lr_multi_agent_ls_pr_auc
20,0.9681274900398407,0.8108108108108109,0.7627118644067797,0.8748450797327142,0.9726807057484348,0.8378378378378378,0.7948717948717948,0.882332450979083,0.9721115537848606,0.8288288288288288,0.7896995708154506,0.8804202359875378,0.9721115537848606,0.8198198198198198,0.7878787878787877,0.880071018848965,0.9715424018212863,0.8288288288288288,0.7863247863247862,0.8805909437659268,0.9715424018212863,0.8288288288288288,0.7863247863247862,0.8789543803519057
21,0.9681274900398407,0.9279279279279279,0.7862595419847328,0.9264930977215381,0.9704040978941377,0.9459459459459459,0.801526717557252,0.9374149056059589,0.9686966420034149,0.9369369369369369,0.7908745247148288,0.9296355965334036,0.9675583380762663,0.9279279279279279,0.7832699619771862,0.9241113230824947,0.9686966420034149,0.9099099099099099,0.7859922178988327,0.9248196391480636,0.9681274900398407,0.9459459459459459,0.7894736842105263,0.93513433988303
22,0.9732498577120091,0.8198198198198198,0.7947598253275109,0.9025144946942413,0.9721115537848606,0.8468468468468469,0.7932489451476793,0.9119233592364936,0.9738190096755834,0.8288288288288288,0.8,0.90568530425699,0.9715424018212863,0.8288288288288288,0.7863247863247862,0.9064047277646853,0.9743881616391576,0.8378378378378378,0.8051948051948051,0.9088013507699468,0.9721115537848606,0.8198198198198198,0.7878787878787877,0.9083056178900086
23,0.9641434262948207,0.8558558558558559,0.7509881422924902,0.8853835981374092,0.9618668184405236,0.8738738738738738,0.7432950191570882,0.8840339784965369,0.9652817302219693,0.8738738738738738,0.7607843137254903,0.8842051504007278,0.964712578258395,0.8648648648648649,0.7559055118110237,0.8850856079114419,0.9624359704040979,0.8738738738738738,0.7461538461538462,0.8825943463983569,0.964712578258395,0.8558558558558559,0.7539682539682541,0.8844134345537248
24,0.9755264655663062,0.9009009009009009,0.823045267489712,0.9276437690141656,0.9766647694934547,0.9009009009009009,0.8298755186721991,0.9264647195255437,0.9766647694934547,0.9009009009009009,0.8298755186721991,0.93239069251847,0.9755264655663062,0.9009009009009009,0.823045267489712,0.9304829234707496,0.9766647694934547,0.9009009009009009,0.8298755186721991,0.9321400647839571,0.974957313602732,0.9099099099099099,0.821138211382114,0.9286069144176476
25,0.977233921457029,0.9009009009009009,0.8333333333333333,0.9429593484878822,0.9743881616391576,0.9369369369369369,0.8221343873517787,0.9429299577652392,0.9726807057484348,0.9099099099099099,0.808,0.9390822565058459,0.977233921457029,0.9099099099099099,0.8347107438016529,0.9374559418947955,0.974957313602732,0.918918918918919,0.8225806451612903,0.9389435097405522,0.977233921457029,0.918918918918919,0.8360655737704918,0.9482990939697065
26,0.958451906659078,0.8198198198198198,0.7137254901960783,0.8679461940420796,0.9595902105862265,0.8558558558558559,0.7279693486590036,0.8779614308412856,0.9601593625498008,0.8378378378378378,0.7265624999999999,0.8798058131818092,0.958451906659078,0.8288288288288288,0.7159533073929961,0.8735417680762125,0.960728514513375,0.8378378378378378,0.7294117647058824,0.8782153094514278,0.958451906659078,0.8378378378378378,0.7181467181467182,0.8733997030483838
27,0.9675583380762663,0.8288288288288288,0.7634854771784232,0.8586450522410111,0.9669891861126921,0.8288288288288288,0.7603305785123967,0.8547997080945451,0.9669891861126921,0.8018018018018018,0.7542372881355933,0.8469811574395082,0.9686966420034149,0.8108108108108109,0.7659574468085107,0.8478019813457912,0.9664200341491178,0.7927927927927928,0.7489361702127659,0.8460616054242872,0.9698349459305634,0.8108108108108109,0.7725321888412018,0.8514790891031843
28,0.9789413773477519,0.9369369369369369,0.8489795918367348,0.9555644480187279,0.9829254410927718,0.9279279279279279,0.8728813559322033,0.9583191394888643,0.9800796812749004,0.918918918918919,0.8535564853556487,0.9588163983989011,0.9800796812749004,0.9279279279279279,0.8547717842323651,0.9570046127174744,0.981217985202049,0.9279279279279279,0.8619246861924686,0.955003482533187,0.981217985202049,0.9459459459459459,0.8641975308641975,0.9610535327025106
29,0.9664200341491178,0.8198198198198198,0.7551867219917012,0.8863352300356073,0.9669891861126921,0.8468468468468469,0.7642276422764227,0.89058824427359,0.9675583380762663,0.8378378378378378,0.7654320987654323,0.8881782459966142,0.9658508821855435,0.8198198198198198,0.7520661157024794,0.8902178328405186,0.9669891861126921,0.8288288288288288,0.7603305785123967,0.8880196016517933,0.9681274900398407,0.8198198198198198,0.7647058823529411,0.8913746491410877
