model,comparison,group_A,group_B,metric,n_iters,mean_A,mean_B,mean_diff,t_statistic,p_value,cohens_d,ci_95_lower,ci_95_upper,significant
RF,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.980729,0.980729,-0.0,-0.0,1.0,-0.0,-0.000504,0.000504,No
RF,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,recall,50,0.715856,0.714595,-0.001261,-0.3792,0.7062,-0.0536,-0.007946,0.005423,No
RF,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,f1,50,0.823465,0.823404,-6e-05,-0.0237,0.9812,-0.0034,-0.005143,0.005023,No
RF,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,pr_auc,50,0.918816,0.91824,-0.000577,-0.5069,0.6145,-0.0717,-0.002863,0.00171,No
RF,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,accuracy,50,0.980581,0.980729,0.000148,0.5781,0.5659,0.0818,-0.000366,0.000662,No
RF,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,recall,50,0.712973,0.714595,0.001622,0.5115,0.6113,0.0723,-0.004749,0.007992,No
RF,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,f1,50,0.821987,0.823404,0.001417,0.562,0.5767,0.0795,-0.003651,0.006486,No
RF,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,pr_auc,50,0.919297,0.91824,-0.001057,-0.9105,0.367,-0.1288,-0.003389,0.001276,No
XGBoost,base → single_pass,base,single_pass,accuracy,50,0.980262,0.980774,0.000512,1.8119,0.0761,0.2562,-5.6e-05,0.00108,No
XGBoost,base → single_pass,base,single_pass,recall,50,0.770631,0.769009,-0.001622,-0.5065,0.6148,-0.0716,-0.008055,0.004812,No
XGBoost,base → single_pass,base,single_pass,f1,50,0.831169,0.834404,0.003235,1.3509,0.1829,0.191,-0.001577,0.008048,No
XGBoost,base → single_pass,base,single_pass,pr_auc,50,0.906163,0.910086,0.003923,2.6156,0.0118,0.3699,0.000909,0.006936,Yes
XGBoost,base → multi_agent_all,base,multi_agent_all,accuracy,50,0.980262,0.981207,0.000945,3.1953,0.0024,0.4519,0.000351,0.001539,Yes
XGBoost,base → multi_agent_all,base,multi_agent_all,recall,50,0.770631,0.770991,0.00036,0.1128,0.9106,0.016,-0.006058,0.006779,No
XGBoost,base → multi_agent_all,base,multi_agent_all,f1,50,0.831169,0.837766,0.006598,2.5723,0.0132,0.3638,0.001443,0.011752,Yes
XGBoost,base → multi_agent_all,base,multi_agent_all,pr_auc,50,0.906163,0.909742,0.003579,2.5552,0.0138,0.3614,0.000764,0.006394,Yes
XGBoost,single_pass → multi_agent_all,single_pass,multi_agent_all,accuracy,50,0.980774,0.981207,0.000433,1.4207,0.1617,0.2009,-0.000179,0.001044,No
XGBoost,single_pass → multi_agent_all,single_pass,multi_agent_all,recall,50,0.769009,0.770991,0.001982,0.481,0.6327,0.068,-0.006299,0.010263,No
XGBoost,single_pass → multi_agent_all,single_pass,multi_agent_all,f1,50,0.834404,0.837766,0.003362,1.1957,0.2376,0.1691,-0.002289,0.009014,No
XGBoost,single_pass → multi_agent_all,single_pass,multi_agent_all,pr_auc,50,0.910086,0.909742,-0.000343,-0.2711,0.7875,-0.0383,-0.002888,0.002202,No
XGBoost,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,accuracy,50,0.980364,0.981207,0.000842,3.1987,0.0024,0.4524,0.000313,0.001372,Yes
XGBoost,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,recall,50,0.764144,0.770991,0.006847,2.1607,0.0356,0.3056,0.000479,0.013215,Yes
XGBoost,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,f1,50,0.830684,0.837766,0.007083,2.9809,0.0045,0.4216,0.002308,0.011858,Yes
XGBoost,multi_agent_lc → multi_agent_all (ablation),multi_agent_lc,multi_agent_all,pr_auc,50,0.907536,0.909742,0.002207,2.0896,0.0419,0.2955,8.4e-05,0.004329,Yes
XGBoost,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,accuracy,50,0.98074,0.981207,0.000467,2.1118,0.0398,0.2987,2.3e-05,0.000911,Yes
XGBoost,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,recall,50,0.763964,0.770991,0.007027,2.2727,0.0275,0.3214,0.000814,0.01324,Yes
XGBoost,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,f1,50,0.833093,0.837766,0.004674,2.2075,0.032,0.3122,0.000419,0.008928,Yes
XGBoost,multi_agent_cc → multi_agent_all (ablation),multi_agent_cc,multi_agent_all,pr_auc,50,0.907812,0.909742,0.001931,1.8525,0.07,0.262,-0.000164,0.004025,No
XGBoost,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,accuracy,50,0.980171,0.981207,0.001036,3.4924,0.001,0.4939,0.00044,0.001632,Yes
XGBoost,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,recall,50,0.757838,0.770991,0.013153,3.5759,0.0008,0.5057,0.005761,0.020545,Yes
XGBoost,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,f1,50,0.828029,0.837766,0.009738,3.5823,0.0008,0.5066,0.004275,0.0152,Yes
XGBoost,multi_agent_ls → multi_agent_all (ablation),multi_agent_ls,multi_agent_all,pr_auc,50,0.90582,0.909742,0.003923,3.4711,0.0011,0.4909,0.001652,0.006193,Yes
MLP,base → single_pass,base,single_pass,accuracy,50,0.98074,0.981309,0.000569,1.7181,0.0921,0.243,-9.7e-05,0.001235,No
MLP,base → single_pass,base,single_pass,recall,50,0.830991,0.839459,0.008468,2.477,0.0167,0.3503,0.001598,0.015339,Yes
