random_state,mlp_base_accuracy,mlp_base_recall,mlp_base_f1,mlp_base_pr_auc,mlp_single_pass_accuracy,mlp_single_pass_recall,mlp_single_pass_f1,mlp_single_pass_pr_auc,mlp_multi_agent_all_accuracy,mlp_multi_agent_all_recall,mlp_multi_agent_all_f1,mlp_multi_agent_all_pr_auc,mlp_multi_agent_lc_accuracy,mlp_multi_agent_lc_recall,mlp_multi_agent_lc_f1,mlp_multi_agent_lc_pr_auc,mlp_multi_agent_cc_accuracy,mlp_multi_agent_cc_recall,mlp_multi_agent_cc_f1,mlp_multi_agent_cc_pr_auc,mlp_multi_agent_ls_accuracy,mlp_multi_agent_ls_recall,mlp_multi_agent_ls_f1,mlp_multi_agent_ls_pr_auc
19,0.9823562891291975,0.8468468468468469,0.8584474885844748,0.9192868962160813,0.9823562891291975,0.8288288288288288,0.8558139534883721,0.9117878353548962,0.9778030734206034,0.8108108108108109,0.8219178082191781,0.910127205856807,0.9795105293113261,0.8198198198198198,0.8348623853211008,0.9052956191694116,0.9778030734206034,0.8288288288288288,0.8251121076233183,0.9063563799912625,0.9760956175298805,0.7657657657657657,0.80188679245283,0.8903818659099667
20,0.9789413773477519,0.7747747747747747,0.8229665071770335,0.8683442575257447,0.981217985202049,0.8108108108108109,0.8450704225352113,0.886853010047406,0.9743881616391576,0.7747747747747747,0.792626728110599,0.8843267333037481,0.977233921457029,0.7927927927927928,0.8148148148148148,0.8873711093438255,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.8948232279729496,0.9778030734206034,0.7927927927927928,0.8186046511627907,0.8886880594099871
21,0.981217985202049,0.8738738738738738,0.8546255506607928,0.91847420137892,0.9817871371656233,0.9099099099099099,0.8632478632478633,0.9316740701460591,0.9817871371656233,0.9009009009009009,0.8620689655172413,0.9196008777859207,0.9840637450199203,0.9009009009009009,0.8771929824561403,0.9202121794149297,0.981217985202049,0.8828828828828829,0.8558951965065502,0.9230282432020115,0.981217985202049,0.9009009009009009,0.8583690987124463,0.9248303848644117
22,0.9840637450199203,0.7927927927927928,0.8627450980392158,0.9119142123704288,0.9806488332384746,0.8018018018018018,0.8396226415094339,0.9084404849549512,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.9047800637310436,0.9800796812749004,0.7927927927927928,0.8341232227488151,0.9025685642733098,0.9829254410927718,0.8198198198198198,0.8584905660377359,0.9082329680002057,0.9778030734206034,0.7837837837837838,0.8169014084507041,0.9018925667890354
23,0.9743881616391576,0.8198198198198198,0.801762114537445,0.8981459840262178,0.974957313602732,0.8468468468468469,0.810344827586207,0.9014840696141403,0.9732498577120091,0.8378378378378378,0.7982832618025751,0.8989063132447305,0.9721115537848606,0.8198198198198198,0.7878787878787877,0.8920188371908584,0.9743881616391576,0.8378378378378378,0.8051948051948051,0.8982278276790826,0.9732498577120091,0.8288288288288288,0.7965367965367967,0.8997566865934445
24,0.9874786568013659,0.8828828828828829,0.8990825688073394,0.9381529402078377,0.9846328969834945,0.8738738738738738,0.8778280542986425,0.9433690698716853,0.9863403528742174,0.8828828828828829,0.8909090909090909,0.9372565059804895,0.9840637450199203,0.8828828828828829,0.8750000000000001,0.938406889148815,0.9840637450199203,0.8648648648648649,0.8727272727272727,0.9322245023696499,0.9829254410927718,0.8558558558558559,0.8636363636363636,0.9303305298386546
25,0.9829254410927718,0.8198198198198198,0.8584905660377359,0.9321977532520501,0.9857712009106432,0.8288288288288288,0.8803827751196172,0.9454566870024617,0.9817871371656233,0.8018018018018018,0.8476190476190476,0.9371755409921674,0.983494593056346,0.8288288288288288,0.863849765258216,0.9356832632290489,0.9806488332384746,0.8198198198198198,0.8425925925925926,0.9348790813884901,0.983494593056346,0.8108108108108109,0.861244019138756,0.9379915627228267
26,0.9743881616391576,0.8108108108108109,0.8,0.8778815666508016,0.977233921457029,0.8288288288288288,0.8214285714285715,0.8916349092908566,0.970973249857712,0.7837837837837838,0.7733333333333334,0.8777613065346326,0.9732498577120091,0.7837837837837838,0.7873303167420813,0.880606658927213,0.9721115537848606,0.7927927927927928,0.7822222222222222,0.8747930474011582,0.9766647694934547,0.8108108108108109,0.8144796380090498,0.8806165334936604
27,0.9721115537848606,0.7207207207207207,0.7655502392344496,0.8765178538608185,0.977233921457029,0.7747747747747747,0.8113207547169811,0.876738043486966,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8737463601561767,0.9738190096755834,0.7477477477477478,0.7830188679245282,0.8704573879942075,0.9743881616391576,0.7477477477477478,0.7867298578199052,0.8743006375159436,0.9766647694934547,0.7297297297297297,0.7980295566502463,0.8704087941209068
28,0.9829254410927718,0.8738738738738738,0.8660714285714286,0.943421848978826,0.9863403528742174,0.8558558558558559,0.8878504672897196,0.9551387085493486,0.9857712009106432,0.8648648648648649,0.8847926267281107,0.9475419425579479,0.9857712009106432,0.8558558558558559,0.8837209302325582,0.9438657543618282,0.9886169607285145,0.8648648648648649,0.9056603773584906,0.9486787884829333,0.9869095048377917,0.8738738738738738,0.8940092165898619,0.9505960359135157
