random_state,bert_mlp_base_accuracy,bert_mlp_base_recall,bert_mlp_base_f1,bert_mlp_base_pr_auc,bert_mlp_single_pass_accuracy,bert_mlp_single_pass_recall,bert_mlp_single_pass_f1,bert_mlp_single_pass_pr_auc,bert_mlp_multi_agent_all_accuracy,bert_mlp_multi_agent_all_recall,bert_mlp_multi_agent_all_f1,bert_mlp_multi_agent_all_pr_auc,bert_mlp_multi_agent_lc_accuracy,bert_mlp_multi_agent_lc_recall,bert_mlp_multi_agent_lc_f1,bert_mlp_multi_agent_lc_pr_auc,bert_mlp_multi_agent_cc_accuracy,bert_mlp_multi_agent_cc_recall,bert_mlp_multi_agent_cc_f1,bert_mlp_multi_agent_cc_pr_auc,bert_mlp_multi_agent_ls_accuracy,bert_mlp_multi_agent_ls_recall,bert_mlp_multi_agent_ls_f1,bert_mlp_multi_agent_ls_pr_auc
24,0.977233921457029,0.7837837837837838,0.8130841121495326,0.867601467788613,0.9760956175298805,0.7657657657657657,0.80188679245283,0.8681386949065428,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8635320430250131,0.9766647694934547,0.7837837837837838,0.8093023255813953,0.8694793035683778,0.9789413773477519,0.7837837837837838,0.8246445497630331,0.8625024902182264,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8560914344314433
25,0.9760956175298805,0.7477477477477478,0.798076923076923,0.844830383478437,0.977233921457029,0.7297297297297297,0.8019801980198019,0.8673891959339675,0.9738190096755834,0.7387387387387387,0.780952380952381,0.8657842684092691,0.9766647694934547,0.7477477477477478,0.8019323671497585,0.8620509018411403,0.9778030734206034,0.7297297297297297,0.8059701492537312,0.8597007939487882,0.977233921457029,0.7837837837837838,0.8130841121495326,0.8691859671273114
26,0.9658508821855435,0.6936936936936937,0.719626168224299,0.7969706260602034,0.970973249857712,0.7297297297297297,0.7605633802816901,0.8097684948993824,0.970973249857712,0.7207207207207207,0.7582938388625592,0.8103355580332939,0.9692657939669892,0.7567567567567568,0.7567567567567567,0.8012721309173353,0.9721115537848606,0.7387387387387387,0.7699530516431926,0.8047384191267538,0.9692657939669892,0.6846846846846847,0.737864077669903,0.7992290101908884
27,0.9743881616391576,0.6756756756756757,0.7692307692307693,0.8213597541054921,0.970973249857712,0.7027027027027027,0.7536231884057971,0.8024065369645256,0.9715424018212863,0.6936936936936937,0.7549019607843137,0.8077670208106101,0.9743881616391576,0.7297297297297297,0.7826086956521738,0.820883526549346,0.9726807057484348,0.7117117117117117,0.7669902912621359,0.8118713789223941,0.9715424018212863,0.6756756756756757,0.75,0.8281593105347791
28,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8914399505255552,0.981217985202049,0.8108108108108109,0.8450704225352113,0.9137271995881671,0.9766647694934547,0.8108108108108109,0.8144796380090498,0.8981425718420648,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.9026649890000472,0.9852020489470689,0.8558558558558559,0.8796296296296297,0.9166668548176715,0.9783722253841776,0.8018018018018018,0.8240740740740742,0.8879105118328423
29,0.9760956175298805,0.7747747747747747,0.8037383177570093,0.8689329820583857,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8744547868811697,0.9766647694934547,0.7837837837837838,0.8093023255813953,0.8861403884633713,0.9783722253841776,0.7747747747747747,0.8190476190476191,0.8847312221145114,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.8839125314092221,0.9783722253841776,0.7837837837837838,0.8207547169811322,0.8869763566769746
30,0.9743881616391576,0.7297297297297297,0.7826086956521738,0.850322748812798,0.9743881616391576,0.7207207207207207,0.7804878048780488,0.8522708080043706,0.9743881616391576,0.7477477477477478,0.7867298578199052,0.8400779858843059,0.9732498577120091,0.7747747747747747,0.7853881278538812,0.8225412618482578,0.9755264655663062,0.7387387387387387,0.7922705314009663,0.8462111857155549,0.970973249857712,0.7747747747747747,0.7713004484304933,0.842274779590813
31,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8426547674653391,0.9715424018212863,0.7117117117117117,0.7596153846153846,0.8393214069784432,0.9715424018212863,0.6756756756756757,0.75,0.8242838556381465,0.9726807057484348,0.7387387387387387,0.7735849056603774,0.8398995336171589,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8278430799801515,0.9732498577120091,0.6936936936936937,0.7661691542288557,0.8377143005447784
32,0.9755264655663062,0.7747747747747747,0.8,0.8756989493128619,0.977233921457029,0.8378378378378378,0.8230088495575221,0.8827704327339864,0.977233921457029,0.8198198198198198,0.8198198198198198,0.8877543095894859,0.9778030734206034,0.8018018018018018,0.8202764976958524,0.8812443844570707,0.9743881616391576,0.8018018018018018,0.7982062780269059,0.880637623198237,0.9789413773477519,0.8018018018018018,0.8279069767441861,0.8774902803197565
33,0.9686966420034149,0.7657657657657657,0.7555555555555554,0.8185694596912305,0.9726807057484348,0.7837837837837838,0.7837837837837838,0.852757577418276,0.9715424018212863,0.8018018018018018,0.7807017543859649,0.8586772073520758,0.9732498577120091,0.7837837837837838,0.7873303167420813,0.8470583298421083,0.9726807057484348,0.8018018018018018,0.7876106194690266,0.8472469827496197,0.9732498577120091,0.7747747747747747,0.7853881278538812,0.8562791645562778
34,0.9664200341491178,0.6576576576576577,0.7121951219512195,0.7951101352431518,0.9732498577120091,0.7027027027027027,0.7684729064039408,0.8344205443887778,0.9726807057484348,0.6486486486486487,0.75,0.81537715241926,0.970973249857712,0.6846846846846847,0.7487684729064039,0.8119946886086092,0.9760956175298805,0.7027027027027027,0.787878787878788,0.82375543802981,0.9704040978941377,0.6846846846846847,0.7450980392156864,0.8112066588577631
35,0.9721115537848606,0.7117117117117117,0.7632850241545894,0.842450199276732,0.9721115537848606,0.7027027027027027,0.7609756097560975,0.8503620873751498,0.9778030734206034,0.7477477477477478,0.8097560975609756,0.8618644845642143,0.977233921457029,0.7477477477477478,0.8058252427184467,0.8586548374140678,0.9755264655663062,0.7207207207207207,0.7881773399014778,0.8561420369434831,0.9743881616391576,0.7387387387387387,0.784688995215311,0.8457052382961815
36,0.9715424018212863,0.7567567567567568,0.7706422018348625,0.8461385991699019,0.9738190096755834,0.7657657657657657,0.787037037037037,0.8574771747008753,0.9760956175298805,0.7657657657657657,0.80188679245283,0.8805550297963288,0.9726807057484348,0.7477477477477478,0.7757009345794393,0.8581453512397816,0.9738190096755834,0.7747747747747747,0.7889908256880734,0.8689495454746969,0.9732498577120091,0.7207207207207207,0.7729468599033817,0.8539114607183478
37,0.9715424018212863,0.6666666666666666,0.7474747474747474,0.8034100603202066,0.9721115537848606,0.6756756756756757,0.7537688442211056,0.8204689538999024,0.9692657939669892,0.6576576576576577,0.7300000000000001,0.8013770448588122,0.9692657939669892,0.6756756756756757,0.7352941176470588,0.8196247513274317,0.9686966420034149,0.6846846846846847,0.7342995169082125,0.823284145124505,0.9681274900398407,0.6396396396396397,0.7171717171717172,0.800155810365741
38,0.9778030734206034,0.7747747747747747,0.8151658767772512,0.8581865841000453,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8917352784252977,0.9789413773477519,0.8018018018018018,0.8279069767441861,0.9000820883819477,0.9789413773477519,0.7927927927927928,0.8262910798122066,0.9029064228963118,0.9789413773477519,0.8108108108108109,0.8294930875576036,0.9038010655120527,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.8812115776768127
39,0.9760956175298805,0.7117117117117117,0.7899999999999999,0.8466399415475218,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8519726809366104,0.9738190096755834,0.7747747747747747,0.7889908256880734,0.8441245650008351,0.9721115537848606,0.7567567567567568,0.7741935483870969,0.8342044933987531,0.9726807057484348,0.7387387387387387,0.7735849056603774,0.8408643790412741,0.9760956175298805,0.7567567567567568,0.8000000000000002,0.8420929419123878
40,0.970973249857712,0.7747747747747747,0.7713004484304933,0.8271605827625234,0.9715424018212863,0.7567567567567568,0.7706422018348625,0.8273996142643938,0.9726807057484348,0.7567567567567568,0.7777777777777778,0.8283521442303641,0.9721115537848606,0.7027027027027027,0.7609756097560975,0.8262412519614848,0.9664200341491178,0.7297297297297297,0.7330316742081446,0.8145837105494661,0.9738190096755834,0.7567567567567568,0.7850467289719626,0.8209831963820643
41,0.9715424018212863,0.7477477477477478,0.7685185185185186,0.8140518356674823,0.9732498577120091,0.7657657657657657,0.783410138248848,0.8408041841276749,0.9732498577120091,0.7927927927927928,0.789237668161435,0.8380705672746865,0.9698349459305634,0.7657657657657657,0.7623318385650223,0.8369043661864994,0.9726807057484348,0.7657657657657657,0.7798165137614678,0.8261779635133806,0.9738190096755834,0.7657657657657657,0.787037037037037,0.8369714705521679
42,0.9698349459305634,0.7747747747747747,0.7644444444444445,0.7525942152360808,0.9692657939669892,0.7207207207207207,0.7476635514018692,0.7869842911236262,0.9686966420034149,0.7297297297297297,0.7465437788018433,0.822833453200416,0.9755264655663062,0.7567567567567568,0.7962085308056872,0.8372562873144492,0.9669891861126921,0.7117117117117117,0.7314814814814815,0.8223113849642643,0.9726807057484348,0.6846846846846847,0.76,0.8194640241188443
43,0.9743881616391576,0.7747747747747747,0.792626728110599,0.8665114826612108,0.9783722253841776,0.8288288288288288,0.8288288288288288,0.8873240803597856,0.977233921457029,0.8018018018018018,0.8165137614678899,0.8867348466071812,0.9766647694934547,0.7747747747747747,0.8075117370892019,0.8786694300484398,0.9738190096755834,0.7927927927927928,0.7927927927927928,0.8722798483527548,0.9738190096755834,0.8018018018018018,0.7946428571428571,0.8759065871240236
44,0.9743881616391576,0.6846846846846847,0.7715736040609138,0.8110288041515369,0.9726807057484348,0.7027027027027027,0.7647058823529411,0.8362616340444696,0.9755264655663062,0.7117117117117117,0.7860696517412935,0.8385039412289096,0.9698349459305634,0.7207207207207207,0.7511737089201878,0.8179556339654845,0.9738190096755834,0.7027027027027027,0.7722772277227723,0.8357635569724975,0.974957313602732,0.7027027027027027,0.78,0.8313667024290572
45,0.9760956175298805,0.8108108108108109,0.8108108108108109,0.8547147776092373,0.9760956175298805,0.7837837837837838,0.8055555555555555,0.8566390173103857,0.9738190096755834,0.8018018018018018,0.7946428571428571,0.8398643045630076,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.8518303099469586,0.9743881616391576,0.8108108108108109,0.8,0.8297775418189284,0.9738190096755834,0.7927927927927928,0.7927927927927928,0.8364409641576124
46,0.9738190096755834,0.7837837837837838,0.7909090909090909,0.8524647834412329,0.9800796812749004,0.7747747747747747,0.8309178743961353,0.8854588359058879,0.9778030734206034,0.8108108108108109,0.8219178082191781,0.8670483519802681,0.9766647694934547,0.7927927927927928,0.8110599078341014,0.847576768511994,0.9778030734206034,0.8198198198198198,0.8235294117647058,0.8641541670080719,0.9789413773477519,0.7747747747747747,0.8229665071770335,0.8330996808958815
47,0.970973249857712,0.7477477477477478,0.7649769585253458,0.834580931809321,0.977233921457029,0.7657657657657657,0.8095238095238094,0.8626672724651663,0.9721115537848606,0.7477477477477478,0.772093023255814,0.8425374950293709,0.977233921457029,0.7387387387387387,0.803921568627451,0.8350291636676206,0.9760956175298805,0.7837837837837838,0.8055555555555555,0.8579255956637953,0.9766647694934547,0.7657657657657657,0.8056872037914692,0.8584911628159614
48,0.9795105293113261,0.7657657657657657,0.825242718446602,0.8722883593367166,0.9800796812749004,0.8108108108108109,0.8372093023255813,0.8949634044440364,0.9778030734206034,0.7657657657657657,0.8133971291866028,0.8695695382385141,0.9789413773477519,0.8198198198198198,0.8310502283105022,0.8981654694515164,0.9755264655663062,0.8018018018018018,0.8054298642533936,0.8789870042660411,0.9789413773477519,0.7567567567567568,0.8195121951219513,0.8665657796226652
49,0.9743881616391576,0.7207207207207207,0.7804878048780488,0.8181723195217407,0.9715424018212863,0.7207207207207207,0.7619047619047618,0.7969927311809868,0.9704040978941377,0.7297297297297297,0.7570093457943925,0.8135512190415295,0.9715424018212863,0.7387387387387387,0.7663551401869159,0.8155785101064336,0.9704040978941377,0.7027027027027027,0.7499999999999999,0.8070144048645814,0.9664200341491178,0.7297297297297297,0.7330316742081446,0.7993589116428752
50,0.981217985202049,0.7657657657657657,0.8374384236453201,0.8722144923773779,0.9795105293113261,0.7927927927927928,0.8301886792452831,0.8779052416061467,0.9760956175298805,0.8018018018018018,0.8090909090909092,0.86763641423304,0.9783722253841776,0.8108108108108109,0.8256880733944955,0.863969972487954,0.9766647694934547,0.8198198198198198,0.8161434977578474,0.8701432034390729,0.9795105293113261,0.8108108108108109,0.8333333333333334,0.8651564340482122
